measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,80,France,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2006,3663.7240811466754,3792.7552834403377,3526.126241240896
1,Deaths,80,France,3,Both,22,All ages,560,Alcohol use disorders,2,Percent,2006,0.0070946554174197455,0.007343715019317609,0.006828187227601273
1,Deaths,80,France,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,2006,5.879062201199737,6.0861144920869465,5.658263297778062
1,Deaths,15,Myanmar,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2006,4966.611898601277,6335.859094825303,3534.396173208095
1,Deaths,15,Myanmar,3,Both,22,All ages,560,Alcohol use disorders,2,Percent,2006,0.010484956442831716,0.012625962435136332,0.007885043207669855
1,Deaths,15,Myanmar,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,2006,10.315742464183419,13.159693579033009,7.341004578891736
1,Deaths,16,Philippines,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2006,483.73025991962754,545.6120690670579,321.38108936827524
1,Deaths,16,Philippines,3,Both,22,All ages,560,Alcohol use disorders,2,Percent,2006,0.0009991649397943446,0.001105065122640556,0.0006518188259455151
1,Deaths,16,Philippines,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,2006,0.5398794852126186,0.6089442554672028,0.3586855556938757
1,Deaths,129,Honduras,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2006,233.6836667409385,342.0961737887385,146.2319649901084
1,Deaths,129,Honduras,3,Both,22,All ages,560,Alcohol use disorders,2,Percent,2006,0.006378109241505991,0.00846943616895128,0.004561343090886298
1,Deaths,129,Honduras,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,2006,3.238512046173403,4.740949999697053,2.026560036312151
1,Deaths,413,Tokelau,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2006,0.012422745202126951,0.018057240155161476,0.006594344686554291
1,Deaths,413,Tokelau,3,Both,22,All ages,560,Alcohol use disorders,2,Percent,2006,0.000931981138997249,0.001237580938302623,0.000499764776968912
1,Deaths,413,Tokelau,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,2006,1.0251881819231257,1.49017539231584,0.544198897279607
1,Deaths,171,Democratic Republic of the Congo,3,Both,22,All ages,560,Alcohol use disorders,1,Number,2007,524.6714678139534,736.1640263369169,354.25205183877404
